t_over_T,t,mx,norm
1.766666666666666385e+00,1.110029404268393449e+01,7.218084335327148438e-01,9.999998807907104492e-01
1.774999999999999911e+00,1.115265392024376467e+01,7.401952743530273438e-01,9.999999403953552246e-01
1.783333333333333215e+00,1.120501379780359485e+01,7.581932544708251953e-01,1.000000000000000000e+00
1.791666666666666519e+00,1.125737367536342504e+01,7.758099436759948730e-01,9.999999403953552246e-01
1.800000000000000044e+00,1.130973355292325522e+01,7.930564284324645996e-01,1.000000000000000000e+00
1.808333333333333348e+00,1.136209343048308540e+01,8.099431991577148438e-01,9.999999403953552246e-01
1.816666666666666430e+00,1.141445330804291380e+01,8.264681100845336914e-01,9.999999403953552246e-01
1.824999999999999956e+00,1.146681318560274399e+01,8.425806164741516113e-01,1.000000000000000000e+00
1.833333333333333259e+00,1.151917306316257417e+01,8.581039309501647949e-01,1.000000000000000000e+00
1.841666666666666563e+00,1.157153294072240435e+01,8.726806640625000000e-01,1.000000000000000000e+00
1.850000000000000089e+00,1.162389281828223453e+01,8.859327435493469238e-01,9.999998807907104492e-01
1.858333333333333393e+00,1.167625269584206471e+01,8.976909518241882324e-01,9.999999403953552246e-01
1.866666666666666474e+00,1.172861257340189312e+01,9.080408215522766113e-01,9.999999403953552246e-01
1.874999999999999778e+00,1.178097245096172330e+01,9.172140359878540039e-01,1.000000000000000000e+00
1.883333333333333304e+00,1.183333232852155348e+01,9.254617691040039062e-01,1.000000000000000000e+00
1.891666666666666607e+00,1.188569220608138366e+01,9.329801797866821289e-01,9.999999403953552246e-01
1.899999999999999911e+00,1.193805208364121384e+01,9.398859143257141113e-01,1.000000000000000000e+00
1.908333333333333437e+00,1.199041196120104402e+01,9.462254643440246582e-01,1.000000000000000000e+00
1.916666666666666519e+00,1.204277183876087243e+01,9.519953131675720215e-01,9.999999403953552246e-01
1.924999999999999822e+00,1.209513171632070261e+01,9.571619033813476562e-01,1.000000000000000000e+00
1.933333333333333348e+00,1.214749159388053279e+01,9.616823196411132812e-01,1.000000000000000000e+00
1.941666666666666652e+00,1.219985147144036297e+01,9.655159115791320801e-01,1.000000000000000000e+00
1.949999999999999956e+00,1.225221134900019315e+01,9.686372876167297363e-01,9.999999403953552246e-01
1.958333333333333481e+00,1.230457122656002333e+01,9.710443615913391113e-01,1.000000000000000000e+00
1.966666666666666563e+00,1.235693110411985174e+01,9.727670550346374512e-01,1.000000000000000000e+00
1.974999999999999867e+00,1.240929098167968192e+01,9.738712310791015625e-01,1.000000119209289551e+00
1.983333333333333171e+00,1.246165085923951210e+01,9.744631052017211914e-01,1.000000000000000000e+00
1.991666666666666696e+00,1.251401073679934228e+01,9.746872186660766602e-01,1.000000000000000000e+00
2.000000000000000000e+00,1.256637061435917246e+01,9.747194647789001465e-01,1.000000119209289551e+00
2.008333333333333304e+00,1.261873049191900265e+01,9.747501611709594727e-01,9.999999403953552246e-01
2.016666666666666607e+00,1.267109036947883105e+01,9.749498367309570312e-01,1.000000000000000000e+00
2.024999999999999911e+00,1.272345024703866123e+01,9.754120111465454102e-01,1.000000000000000000e+00
2.033333333333333215e+00,1.277581012459849141e+01,9.760671854019165039e-01,1.000000000000000000e+00
2.041666666666666519e+00,1.282817000215832159e+01,9.765741229057312012e-01,9.999999403953552246e-01
2.049999999999999822e+00,1.288052987971815178e+01,9.761964678764343262e-01,1.000000000000000000e+00
2.058333333333333570e+00,1.293288975727798196e+01,9.736986160278320312e-01,9.999999403953552246e-01
2.066666666666666430e+00,1.298524963483781036e+01,9.672843813896179199e-01,1.000000000000000000e+00
2.074999999999999734e+00,1.303760951239764054e+01,9.546040892601013184e-01,1.000000000000000000e+00
2.083333333333333037e+00,1.308996938995747072e+01,9.328307509422302246e-01,9.999999403953552246e-01
2.091666666666666785e+00,1.314232926751730091e+01,8.988019824028015137e-01,1.000000000000000000e+00
2.100000000000000089e+00,1.319468914507713109e+01,8.492878079414367676e-01,1.000000000000000000e+00
2.108333333333333393e+00,1.324704902263696127e+01,7.816652655601501465e-01,1.000000000000000000e+00
2.116666666666666696e+00,1.329940890019678967e+01,6.957921981811523438e-01,1.000000000000000000e+00
2.125000000000000000e+00,1.335176877775661985e+01,5.984365344047546387e-01,9.999998807907104492e-01
2.133333333333333304e+00,1.340412865531645004e+01,5.100181698799133301e-01,1.000000000000000000e+00
2.141666666666666607e+00,1.345648853287628022e+01,4.642360806465148926e-01,9.999999403953552246e-01
2.149999999999999911e+00,1.350884841043611040e+01,4.827641546726226807e-01,9.999999403953552246e-01
2.158333333333333215e+00,1.356120828799593880e+01,5.482272505760192871e-01,9.999998807907104492e-01
2.166666666666666519e+00,1.361356816555576899e+01,6.393508911132812500e-01,9.999999403953552246e-01
2.174999999999999822e+00,1.366592804311559917e+01,7.527318000793457031e-01,9.999999403953552246e-01
2.183333333333333126e+00,1.371828792067542935e+01,8.084530234336853027e-01,9.999999403953552246e-01
2.191666666666666430e+00,1.377064779823525953e+01,7.296844720840454102e-01,1.000000000000000000e+00
2.200000000000000178e+00,1.382300767579508971e+01,5.932108759880065918e-01,1.000000000000000000e+00
2.208333333333333037e+00,1.387536755335491812e+01,5.386440157890319824e-01,9.999999403953552246e-01
2.216666666666666341e+00,1.392772743091474830e+01,6.953322291374206543e-01,1.000000000000000000e+00
2.224999999999999645e+00,1.398008730847457848e+01,7.692357897758483887e-01,9.999999403953552246e-01
2.233333333333333393e+00,1.403244718603440866e+01,7.627236247062683105e-01,9.999999403953552246e-01
2.241666666666666696e+00,1.408480706359423884e+01,7.466009259223937988e-01,9.999999403953552246e-01
2.250000000000000000e+00,1.413716694115406902e+01,7.292333841323852539e-01,1.000000000000000000e+00
2.258333333333333304e+00,1.418952681871389743e+01,7.114012241363525391e-01,1.000000000000000000e+00
2.266666666666666607e+00,1.424188669627372761e+01,6.930290460586547852e-01,9.999999403953552246e-01
2.274999999999999911e+00,1.429424657383355779e+01,6.741271018981933594e-01,1.000000000000000000e+00
2.283333333333333215e+00,1.434660645139338797e+01,6.547095179557800293e-01,1.000000119209289551e+00
2.291666666666666519e+00,1.439896632895321815e+01,6.347928047180175781e-01,1.000000000000000000e+00
