sample_index,t_over_T,phase_fraction,a_plus_abs,a_minus_abs
1.340000000000000000e+02,3.350000000000000000e+01,5.000000000000000000e-01,7.084330916404724121e-01,7.058233022689819336e-01
1.350000000000000000e+02,3.375000000000000000e+01,7.500000000000000000e-01,9.190322756767272949e-01,3.942643702030181885e-01
1.360000000000000000e+02,3.400000000000000000e+01,0.000000000000000000e+00,1.000030994415283203e+00,1.872839871793985367e-03
1.370000000000000000e+02,3.425000000000000000e+01,2.500000000000000000e-01,9.204730391502380371e-01,3.908900022506713867e-01
1.380000000000000000e+02,3.450000000000000000e+01,5.000000000000000000e-01,7.057820558547973633e-01,7.084761261940002441e-01
1.390000000000000000e+02,3.475000000000000000e+01,7.500000000000000000e-01,3.943217694759368896e-01,9.190093874931335449e-01
1.400000000000000000e+02,3.500000000000000000e+01,0.000000000000000000e+00,1.929438672959804535e-03,1.000032186508178711e+00
1.410000000000000000e+02,3.525000000000000000e+01,2.500000000000000000e-01,3.908352553844451904e-01,9.204980731010437012e-01
1.420000000000000000e+02,3.550000000000000000e+01,5.000000000000000000e-01,7.085118889808654785e-01,7.057485580444335938e-01
1.430000000000000000e+02,3.575000000000000000e+01,7.500000000000000000e-01,9.189920425415039062e-01,3.943656682968139648e-01
1.440000000000000000e+02,3.600000000000000000e+01,0.000000000000000000e+00,1.000033497810363770e+00,1.982094720005989075e-03
1.450000000000000000e+02,3.625000000000000000e+01,2.500000000000000000e-01,9.205167293548583984e-01,3.907946050167083740e-01
1.460000000000000000e+02,3.650000000000000000e+01,5.000000000000000000e-01,7.057125568389892578e-01,7.085491418838500977e-01
1.470000000000000000e+02,3.675000000000000000e+01,7.500000000000000000e-01,3.944135606288909912e-01,9.189729690551757812e-01
1.480000000000000000e+02,3.700000000000000000e+01,0.000000000000000000e+00,2.030750270932912827e-03,1.000034570693969727e+00
1.490000000000000000e+02,3.725000000000000000e+01,2.500000000000000000e-01,3.907471597194671631e-01,9.205379486083984375e-01
