sample_index,t_over_T,phase_fraction,a_plus_abs,a_minus_abs
1.820000000000000000e+02,4.550000000000000000e+01,5.000000000000000000e-01,6.586096286773681641e-01,7.525432705879211426e-01
1.830000000000000000e+02,4.575000000000000000e+01,7.500000000000000000e-01,9.277138113975524902e-01,3.734118342399597168e-01
1.840000000000000000e+02,4.600000000000000000e+01,0.000000000000000000e+00,1.000042915344238281e+00,1.841227873228490353e-03
1.850000000000000000e+02,4.625000000000000000e+01,2.500000000000000000e-01,9.287185668945312500e-01,3.709058463573455811e-01
1.860000000000000000e+02,4.650000000000000000e+01,5.000000000000000000e-01,6.558362841606140137e-01,7.549629807472229004e-01
1.870000000000000000e+02,4.675000000000000000e+01,7.500000000000000000e-01,4.710667133331298828e-01,8.821490406990051270e-01
1.880000000000000000e+02,4.700000000000000000e+01,0.000000000000000000e+00,1.380281150341033936e-01,9.904741644859313965e-01
1.890000000000000000e+02,4.725000000000000000e+01,2.500000000000000000e-01,2.874820232391357422e-01,9.578335881233215332e-01
1.900000000000000000e+02,4.750000000000000000e+01,5.000000000000000000e-01,8.372538685798645020e-01,5.468986630439758301e-01
1.910000000000000000e+02,4.775000000000000000e+01,7.500000000000000000e-01,8.216382265090942383e-01,5.700906515121459961e-01
1.920000000000000000e+02,4.800000000000000000e+01,0.000000000000000000e+00,9.624449610710144043e-01,2.716481387615203857e-01
1.930000000000000000e+02,4.825000000000000000e+01,2.500000000000000000e-01,9.702514410018920898e-01,2.422919422388076782e-01
1.940000000000000000e+02,4.850000000000000000e+01,5.000000000000000000e-01,4.277597069740295410e-01,9.039442539215087891e-01
1.950000000000000000e+02,4.875000000000000000e+01,7.500000000000000000e-01,6.641550064086914062e-01,7.476580142974853516e-01
1.960000000000000000e+02,4.900000000000000000e+01,0.000000000000000000e+00,4.002051949501037598e-01,9.164770245552062988e-01
1.970000000000000000e+02,4.925000000000000000e+01,2.500000000000000000e-01,2.598192989826202393e-01,9.657063484191894531e-01
1.980000000000000000e+02,4.950000000000000000e+01,5.000000000000000000e-01,9.537860751152038574e-01,3.006459474563598633e-01
1.990000000000000000e+02,4.975000000000000000e+01,7.500000000000000000e-01,6.622157096862792969e-01,7.493779063224792480e-01
2.000000000000000000e+02,5.000000000000000000e+01,0.000000000000000000e+00,8.534269332885742188e-01,5.213051438331604004e-01
2.010000000000000000e+02,5.025000000000000000e+01,2.500000000000000000e-01,9.442895054817199707e-01,3.292625546455383301e-01
2.020000000000000000e+02,5.050000000000000000e+01,5.000000000000000000e-01,1.679462343454360962e-01,9.858453273773193359e-01
