t_over_T,t,sigma_x_magnus4,sigma_x_rk4,norm_magnus4,norm_rk4
2.287500000000000000e+01,1.437278639017330306e+02,-8.423449993133544922e-01,-8.404397964477539062e-01,1.000020146369934082e+00,9.989717602729797363e-01
2.288749999999999929e+01,1.438064037180727723e+02,-8.916929364204406738e-01,-8.899909853935241699e-01,1.000020146369934082e+00,9.989717602729797363e-01
2.289999999999999858e+01,1.438849435344125141e+02,-9.359787702560424805e-01,-9.347357749938964844e-01,1.000020146369934082e+00,9.989717602729797363e-01
2.291249999999999787e+01,1.439634833507522558e+02,-9.674839973449707031e-01,-9.667169451713562012e-01,1.000020146369934082e+00,9.989718198776245117e-01
2.292500000000000071e+01,1.440420231670920259e+02,-9.860206246376037598e-01,-9.856188893318176270e-01,1.000020146369934082e+00,9.989717602729797363e-01
2.293750000000000000e+01,1.441205629834317676e+02,-9.950834512710571289e-01,-9.949076771736145020e-01,1.000020146369934082e+00,9.989718794822692871e-01
2.294999999999999929e+01,1.441991027997715094e+02,-9.986771345138549805e-01,-9.986156225204467773e-01,1.000020265579223633e+00,9.989718794822692871e-01
2.296249999999999858e+01,1.442776426161112511e+02,-9.997617006301879883e-01,-9.997460246086120605e-01,1.000020146369934082e+00,9.989718794822692871e-01
2.297500000000000142e+01,1.443561824324509928e+02,-9.999779462814331055e-01,-9.999755024909973145e-01,1.000020027160644531e+00,9.989718794822692871e-01
2.298750000000000071e+01,1.444347222487907345e+02,-9.999980926513671875e-01,-9.999978542327880859e-01,1.000020146369934082e+00,9.989718794822692871e-01
2.300000000000000000e+01,1.445132620651304762e+02,-9.999982118606567383e-01,-9.999980926513671875e-01,1.000020146369934082e+00,9.989719390869140625e-01
2.301249999999999929e+01,1.445918018814702179e+02,-9.999979734420776367e-01,-9.999977946281433105e-01,1.000020146369934082e+00,9.989719390869140625e-01
2.302499999999999858e+01,1.446703416978099597e+02,-9.999754428863525391e-01,-9.999775290489196777e-01,1.000020146369934082e+00,9.989719390869140625e-01
2.303750000000000142e+01,1.447488815141497298e+02,-9.997459053993225098e-01,-9.997613430023193359e-01,1.000020146369934082e+00,9.989718794822692871e-01
2.305000000000000071e+01,1.448274213304894715e+02,-9.986156821250915527e-01,-9.986768960952758789e-01,1.000020146369934082e+00,9.989719390869140625e-01
2.306250000000000000e+01,1.449059611468292132e+02,-9.949089288711547852e-01,-9.950842261314392090e-01,1.000020146369934082e+00,9.989718794822692871e-01
2.307499999999999929e+01,1.449845009631689550e+02,-9.856233596801757812e-01,-9.860245585441589355e-01,1.000020027160644531e+00,9.989719390869140625e-01
